sample_id,trajectory,pos_x,pos_y,pos_z,sensor10,sensor11,sensor12,sensor20,sensor21,sensor22,sensor30,sensor31,sensor32,sensor40,sensor41,sensor42
rectangular_with_rotation:0,rectangular_with_rotation,11.627415277,4.122950315,1.868871338,-68,-71,-78,-79,100,-75,-87,-78,-73,-55,-67,-66
rectangular_with_rotation:1,rectangular_with_rotation,11.70021143,4.103473142,1.820630856,100,-67,-71,-77,-78,-76,-79,-72,-81,-53,-65,100
rectangular_with_rotation:2,rectangular_with_rotation,11.732036127,4.065981937,1.81005419,100,-70,-71,-77,-86,-76,-91,100,-77,-53,-75,-68
rectangular_with_rotation:3,rectangular_with_rotation,11.744360284,4.035602843,1.813198579,-70,-70,-71,-78,-80,-72,-82,100,100,-54,-63,-75
rectangular_with_rotation:4,rectangular_with_rotation,11.638451647,4.087394261,1.809,-68,-74,-71,-71,100,-71,100,-72,-75,-54,-58,-61
rectangular_with_rotation:5,rectangular_with_rotation,11.389886502,4.133273226,1.81309794,-73,-74,100,-72,-76,-79,100,-77,-69,-58,-67,-70
rectangular_with_rotation:6,rectangular_with_rotation,11.082120485,4.167538624,1.834335223,-73,-63,-72,-71,-84,-67,-80,-73,-75,-63,100,100
rectangular_with_rotation:7,rectangular_with_rotation,10.757829285,4.186367887,1.847,-70,-72,-74,100,-76,-74,-79,-70,100,-60,-68,-66
rectangular_with_rotation:8,rectangular_with_rotation,10.143520872,4.172772348,1.829682957,-72,-66,-70,-75,100,-74,-76,-69,-71,-62,-63,100
rectangular_with_rotation:9,rectangular_with_rotation,9.597637912,4.140279248,1.823558497,-77,-64,-70,-67,-74,-68,100,-68,-73,100,-64,-61
rectangular_with_rotation:10,rectangular_with_rotation,9.199084485,4.14199169,1.813006925,-69,100,-72,-70,-78,-71,-86,-78,-74,-66,-63,-67
rectangular_with_rotation:11,rectangular_with_rotation,8.785592447,4.188942779,1.788865317,-68,-77,-70,-80,100,-82,-77,-69,-75,-70,100,-64
rectangular_with_rotation:12,rectangular_with_rotation,8.387699731,4.202544996,1.784455004,-66,-63,-77,-72,100,100,-78,-70,-75,-75,-65,-74
rectangular_with_rotation:13,rectangular_with_rotation,7.980811979,4.214728077,1.799273187,100,-60,-76,-82,-74,-76,-80,100,-69,-64,-65,-66
rectangular_with_rotation:14,rectangular_with_rotation,7.597782526,4.213610446,1.805055651,-72,-62,100,-76,100,-76,-85,-66,-78,-76,-62,-72
rectangular_with_rotation:15,rectangular_with_rotation,7.055651891,4.211100291,1.771150436,-69,-59,-71,-81,-74,100,-80,-70,-79,-67,-63,100
rectangular_with_rotation:16,rectangular_with_rotation,6.728038854,4.182588887,1.771672238,-70,-58,-72,100,-77,-83,-80,-75,-75,100,-74,-68
rectangular_with_rotation:17,rectangular_with_rotation,6.332307083,4.245203224,1.781450317,100,-65,-68,-80,-80,-76,100,-73,-73,-69,-74,-69
rectangular_with_rotation:18,rectangular_with_rotation,6.09255817,4.322627777,1.701935001,-73,-64,-73,-72,-80,-78,-83,-72,100,100,-67,-70
rectangular_with_rotation:19,rectangular_with_rotation,6.259323759,4.421138754,1.656635832,-80,-62,100,100,-76,-80,-91,-71,-75,-70,-66,-68
rectangular_with_rotation:20,rectangular_with_rotation,5.864880091,4.404430006,1.789849972,100,-63,-72,100,-82,-72,-87,-81,-81,-71,-75,-66
rectangular_with_rotation:21,rectangular_with_rotation,5.780310732,4.442723169,1.818896423,-70,-69,-66,-78,-75,100,-83,-73,-82,-67,100,-63
rectangular_with_rotation:22,rectangular_with_rotation,5.787999076,4.817656812,1.738684528,-66,-68,-68,100,-75,-79,-86,100,-78,-79,-70,-65
rectangular_with_rotation:23,rectangular_with_rotation,5.675904508,5.14803054,1.714618032,-63,-64,-67,-77,-76,100,-83,-77,100,-77,-81,-68
rectangular_with_rotation:24,rectangular_with_rotation,5.583159911,5.584305518,1.763334128,-58,-67,100,-71,-84,-71,-82,-75,-75,-73,-71,-76
rectangular_with_rotation:25,rectangular_with_rotation,5.567453216,6.031233335,1.780890643,-61,-63,-65,-76,-80,-71,-86,-70,-75,100,-74,100
rectangular_with_rotation:26,rectangular_with_rotation,5.662952662,6.658853003,1.783004983,-65,-63,-68,100,-81,100,-85,-74,-68,-80,-67,-77
rectangular_with_rotation:27,rectangular_with_rotation,5.695437534,7.117563562,1.810656301,-58,-68,-62,-67,100,-75,-83,-71,-74,-73,-67,-77
rectangular_with_rotation:28,rectangular_with_rotation,5.706064142,7.568988398,1.819532071,-58,-66,-65,-71,-73,-80,-84,-74,-74,-77,-64,-70
rectangular_with_rotation:29,rectangular_with_rotation,5.716,8.005574494,1.823,-58,-63,-62,-65,100,-72,-83,-69,100,-75,-63,-67
rectangular_with_rotation:30,rectangular_with_rotation,5.72297101,8.454115652,1.82094202,-60,-68,-63,100,-72,-70,-79,-80,-74,100,-72,-75
