sample_id,trajectory,pos_x,pos_y,pos_z,sensor10,sensor11,sensor12,sensor20,sensor21,sensor22,sensor30,sensor31,sensor32,sensor40,sensor41,sensor42
rectangular_with_rotation:0,rectangular_with_rotation,11.627861563,4.123092316,1.868830767,-68,-67,-73,-79,-79,-75,-79,-78,-73,-55,-67,-66
rectangular_with_rotation:1,rectangular_with_rotation,11.716639552,4.100852133,1.815245842,-68,-68,-71,-77,-78,-76,-79,-72,-81,-53,-65,-69
rectangular_with_rotation:2,rectangular_with_rotation,11.74432944,4.035294397,1.813352801,-70,-70,-71,-78,-81,-72,-88,-72,-77,-53,-66,-68
rectangular_with_rotation:3,rectangular_with_rotation,11.638876756,4.087347027,1.809,-68,-72,-71,-71,-79,-71,-82,-72,-75,-54,-58,-61
rectangular_with_rotation:4,rectangular_with_rotation,11.389078099,4.133523446,1.813117188,-73,-74,-81,-72,-76,-79,-78,-77,-69,-58,-67,-70
rectangular_with_rotation:5,rectangular_with_rotation,11.081630868,4.167740231,1.834407225,-73,-63,-72,-71,-84,-67,-80,-73,-75,-63,-66,-66
rectangular_with_rotation:6,rectangular_with_rotation,10.353092726,4.177654636,1.838769758,-70,-66,-70,-80,-76,-77,-76,-69,-74,-60,-63,-70
rectangular_with_rotation:7,rectangular_with_rotation,9.97654969,4.166754969,1.836652981,-74,-71,-72,-67,-74,-68,-80,-69,-71,-70,-65,-61
rectangular_with_rotation:8,rectangular_with_rotation,9.199084485,4.14199169,1.813006925,-69,-64,-70,-69,-78,-71,-86,-68,-73,-66,-63,-67
rectangular_with_rotation:9,rectangular_with_rotation,8.590398176,4.20220014,1.77379986,-66,-76,-70,-72,-80,-76,-77,-69,-75,-70,-64,-64
rectangular_with_rotation:10,rectangular_with_rotation,7.980811979,4.214728077,1.799273187,-70,-60,-76,-79,-74,-76,-78,-75,-69,-64,-65,-66
rectangular_with_rotation:11,rectangular_with_rotation,7.224236722,4.22551801,1.785554029,-69,-61,-71,-76,-74,-76,-80,-66,-78,-76,-62,-66
rectangular_with_rotation:12,rectangular_with_rotation,6.728280734,4.182605568,1.771563809,-70,-59,-72,-70,-77,-83,-80,-75,-75,-67,-63,-68
rectangular_with_rotation:13,rectangular_with_rotation,6.190313237,4.277821826,1.761864938,-71,-58,-68,-72,-80,-76,-83,-73,-73,-69,-74,-69
rectangular_with_rotation:14,rectangular_with_rotation,6.259164544,4.421070519,1.656650996,-76,-62,-79,-73,-76,-78,-87,-71,-75,-70,-66,-68
rectangular_with_rotation:15,rectangular_with_rotation,5.819766612,4.403,1.804411129,-70,-63,-72,-79,-82,-72,-83,-81,-81,-71,-75,-66
rectangular_with_rotation:16,rectangular_with_rotation,5.78009637,4.443259074,1.818967877,-70,-70,-66,-74,-75,-77,-86,-73,-80,-67,-77,-63
rectangular_with_rotation:17,rectangular_with_rotation,5.680317357,4.967682643,1.695628438,-63,-64,-67,-77,-75,-78,-83,-77,-78,-77,-70,-69
rectangular_with_rotation:18,rectangular_with_rotation,5.612765415,5.357301346,1.719139546,-58,-67,-68,-71,-76,-71,-82,-75,-75,-73,-75,-68
rectangular_with_rotation:19,rectangular_with_rotation,5.567404539,6.031788254,1.780880908,-61,-63,-65,-76,-80,-71,-85,-70,-75,-73,-71,-77
rectangular_with_rotation:20,rectangular_with_rotation,5.663249246,6.660900503,1.783062312,-65,-66,-68,-69,-81,-75,-84,-74,-68,-73,-67,-77
rectangular_with_rotation:21,rectangular_with_rotation,5.695550867,7.121076866,1.8108263,-58,-66,-62,-67,-73,-76,-83,-71,-74,-77,-67,-77
rectangular_with_rotation:22,rectangular_with_rotation,5.712180455,7.788188222,1.822,-58,-63,-62,-68,-80,-80,-83,-74,-74,-75,-64,-67
rectangular_with_rotation:23,rectangular_with_rotation,5.72297101,8.454115652,1.82094202,-59,-68,-63,-65,-72,-70,-79,-69,-74,-78,-63,-71
rectangular_with_rotation:24,rectangular_with_rotation,5.722763201,8.898674646,1.826236799,-64,-70,-63,-70,-82,-69,-81,-73,-74,-77,-63,-67
rectangular_with_rotation:25,rectangular_with_rotation,5.705421373,9.319569505,1.838,-64,-69,-65,-60,-72,-69,-79,-75,-72,-74,-68,-68
rectangular_with_rotation:26,rectangular_with_rotation,5.678,10.222341745,1.82,-65,-69,-64,-61,-75,-66,-81,-77,-72,-74,-67,-70
rectangular_with_rotation:27,rectangular_with_rotation,5.53,10.864682076,1.48804038,-67,-80,-66,-64,-68,-64,-78,-74,-72,-75,-68,-71
rectangular_with_rotation:28,rectangular_with_rotation,5.556119316,11.361939959,1.757021802,-67,-75,-65,-65,-68,-63,-81,-71,-83,-79,-66,-71
rectangular_with_rotation:29,rectangular_with_rotation,5.46967645,11.970280923,1.9633529,-73,-72,-65,-70,-75,-69,-73,-75,-79,-81,-79,-77
rectangular_with_rotation:30,rectangular_with_rotation,5.573141138,12.50103478,1.735581943,-70,-74,-65,-68,-71,-65,-77,-65,-82,-80,-71,-85
rectangular_with_rotation:31,rectangular_with_rotation,5.730165083,12.871486851,1.757469503,-70,-70,-71,-74,-71,-80,-82,-71,-78,-78,-66,-74
rectangular_with_rotation:32,rectangular_with_rotation,5.801128165,12.964564083,1.790336531,-74,-71,-66,-71,-67,-64,-77,-73,-76,-78,-69,-74
rectangular_with_rotation:33,rectangular_with_rotation,5.914,12.994576642,1.624672993,-71,-73,-64,-71,-68,-72,-83,-73,-81,-77,-64,-79
rectangular_with_rotation:34,rectangular_with_rotation,5.918835224,13.106760918,1.749526659,-70,-75,-64,-71,-68,-64,-77,-70,-77,-83,-73,-75
rectangular_with_rotation:35,rectangular_with_rotation,6.060966276,13.046874186,1.711869001,-72,-76,-64,-72,-68,-70,-73,-72,-70,-80,-65,-78
rectangular_with_rotation:36,rectangular_with_rotation,6.577462079,13.110684691,1.695046349,-72,-76,-65,-55,-65,-60,-71,-68,-75,-77,-71,-74
rectangular_with_rotation:37,rectangular_with_rotation,6.914138585,13.079695842,1.720208607,-68,-67,-78,-59,-68,-66,-82,-70,-75,-77,-76,-78
rectangular_with_rotation:38,rectangular_with_rotation,7.496066157,13.01128628,1.773062195,-68,-74,-70,-57,-74,-59,-80,-68,-68,-79,-69,-77
rectangular_with_rotation:39,rectangular_with_rotation,8.142132344,13.031008237,1.816921472,-67,-73,-69,-60,-65,-66,-71,-69,-68,-82,-70,-79
rectangular_with_rotation:40,rectangular_with_rotation,8.580164476,13.032,1.818915166,-67,-74,-71,-59,-66,-65,-71,-71,-70,-79,-77,-77
rectangular_with_rotation:41,rectangular_with_rotation,9.189979967,13.022,1.820316141,-66,-73,-66,-62,-69,-63,-70,-70,-68,-79,-71,-77
rectangular_with_rotation:42,rectangular_with_rotation,9.590333426,12.991051286,1.823,-71,-71,-71,-63,-69,-69,-69,-70,-69,-80,-68,-77
